id,title,year,venue_or_source,url_or_doi,task,dataset_size,domain,retrieval_type,generation_type,metrics,evaluates_abstention_yes_no,evaluates_citation_accuracy_yes_no,evaluates_trace_observability_yes_no,evaluates_agentic_pipeline_yes_no,evaluates_open_source_models_yes_no,limitations,relevance_to_auralynq,possible_gap
L01,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2020,NeurIPS 2020,https://arxiv.org/abs/2005.11401,open-domain QA / knowledge-intensive,multiple (NQ/TriviaQA/etc),open-domain,dense (DPR),parametric+generative,EM / F1,no,no,no,no,no (custom seq2seq),"single-step retrieval, no abstention, no citations",foundational RAG framing for the paper's related work,joint abstention+citation+trace not addressed
L02,Benchmarking LLMs in Retrieval-Augmented Generation (RGB),2024,AAAI 2024,https://arxiv.org/abs/2309.01431,RAG robustness diagnosis,~600 (EN+ZH testbeds),news / open-domain,provided contexts,LLM generation,"accuracy, rejection rate, error detection",yes (negative rejection),no,no,no,partial (several LLMs),"focuses on 4 abilities; no calibration metrics, no trace",directly motivates abstention/negative-rejection contribution,calibrated abstention (AURC/ECE) not measured
L03,RAGAS: Automated Evaluation of Retrieval Augmented Generation,2024,EACL 2024 (demo),https://arxiv.org/abs/2309.15217,reference-free RAG eval,n/a (metric suite),domain-agnostic,any,any,"faithfulness, answer relevancy, context relevance",no,no,no,no,partial,"metric reliability debated; LLM-judge dependence",reused as a generation-quality signal in Auralynq metrics,no abstention/calibration/trace metrics; judge reliability untested here
L04,ARES: An Automated Evaluation Framework for RAG,2024,NAACL 2024,https://arxiv.org/abs/2311.09476,automated RAG eval (trained judges),8 KILT-style tasks,multi-domain,any,any,"context relevance, answer faithfulness, answer relevance (PPI)",no,no,no,no,partial,"requires judge fine-tuning + human PPI anchors",judge-reliability angle informs our evaluator-agreement study,does not evaluate abstention calibration or agent traces
L05,CRAG -- Comprehensive RAG Benchmark,2024,NeurIPS 2024 D&B,https://arxiv.org/abs/2406.04744,factual QA w/ web+KG mock APIs,4409 QA pairs,"finance, sports, music, movie, open",web+KG (mock APIs),LLM generation,"accuracy, hallucination, missing, truthfulness score",yes (scores hallucination vs missing),no,no,partial (web/KG routing),partial,"web/KG simulated via mock APIs; English only",closest to corpus-vs-web routing eval; reusable QA + abstention labels,no trace-feature analysis; no open-model local-first study
L06,RAGBench: Explainable Benchmark for RAG Systems (TRACe),2024,arXiv,https://arxiv.org/abs/2407.11005,explainable RAG eval,100k examples,"industry corpora (manuals, biomedical, legal, customer)",provided contexts,LLM generation,"utilization, relevance, adherence, completeness (TRACe)",no,partial (adherence ~ grounding),no,no,partial,"finetuned RoBERTa beats LLM judges; no agentic loop",TRACe adherence/completeness map onto our sufficiency features,no abstention decision/calibration; no trace observability
L07,T2-RAGBench: Text-and-Table Benchmark for RAG,2025,arXiv,https://arxiv.org/abs/2506.12071,text+table financial QA,~32k QA (per paper),finance (text+tables),dense/hybrid,LLM generation,"accuracy / numeric correctness",no,no,no,no,partial,"narrow domain; table reasoning focus",supports our text-and-table corpus ablation,no abstention/trace; not local-first focused
L08,MIRAGE-Bench: Multilingual RAG Evaluation Arena,2025,NAACL 2025,https://arxiv.org/abs/2410.13716,multilingual answer generation,18 languages (atop MIRACL),Wikipedia multilingual,dense (multilingual),LLM generation,"surrogate-judge Bradley-Terry, 7 heuristic features",no,no,no,no,yes (19 multilingual LLMs),"arena/surrogate-judge; no abstention metric",multilingual + heuristic-feature judge informs our trace-feature study,no calibrated abstention; no agent trace logging
L09,GroUSE: A Benchmark to Evaluate Evaluators in Grounded QA,2025,COLING 2025,https://arxiv.org/abs/2409.06595,meta-evaluation of judges,144 unit tests (7 failure modes),grounded QA,provided contexts,grounded generation,"judge calibration/discrimination on failure modes",yes (failure-mode incl. should-abstain),partial,no,no,partial,"meta-eval of judges, not systems; small",validates our heuristic-vs-LLM-judge agreement contribution,no end-to-end agentic pipeline; no local-first models
L10,FaithBench: Diverse Hallucination Benchmark for Summarization,2025,NAACL 2025 (short),https://arxiv.org/abs/2410.13210,hallucination detection (summarization),challenging set from 10 LLMs,news summarization,n/a (summarization),LLM summaries,"detector accuracy vs expert labels",no,no,no,no,yes (10 LLMs / 8 families),"summarization not doc-grounded QA; detectors ~50% acc",hallucination-risk labeling methodology informs our risk score,not RAG/agentic; no abstention/citation/trace
L11,Enabling LLMs to Generate Text with Citations (ALCE),2023,EMNLP 2023,https://arxiv.org/abs/2305.14627,attributed generation,3 datasets (ASQA/QAMPARI/ELI5),open-domain,provided contexts,citation-augmented generation,"fluency, correctness, citation precision/recall",no,yes (citation precision/recall),no,no,partial,"no abstention; English; static retrieval",defines citation-faithfulness metrics we reuse,no abstention calibration; no agent trace; no local-first
L12,GraphRAG: From Local to Global Query-Focused Summarization,2024,arXiv (Microsoft),https://arxiv.org/abs/2404.16130,global sensemaking QFS,1M-token corpora,private corpora,graph (community summaries),LLM generation,"comprehensiveness, diversity (LLM-judged)",no,no,no,no,no (GPT-class),"global summarization; costly indexing; LLM-judge",graph-expansion baseline for our retrieval ablation,no abstention/calibration; no per-query trace metrics
L13,PathRAG: Pruning Graph-based RAG with Relational Paths,2025,arXiv,https://arxiv.org/abs/2502.14902,graph RAG generation,6 datasets,multi-domain,graph relational paths,LLM generation,"5 eval dimensions (win-rate, LLM-judged)",no,no,no,no,partial,"win-rate style eval; no abstention/calibration",Auralynq's graph retriever is PathRAG-style; core baseline,graph-path support as a sufficiency feature is unexplored
L14,Agentic Retrieval-Augmented Generation: A Survey,2025,arXiv,https://arxiv.org/abs/2501.09136,survey of agentic RAG patterns,n/a,n/a,various,various,n/a (taxonomy),no,no,partial (discusses observability),yes (taxonomy of agentic RAG),partial,"survey; no benchmark or metrics",frames Auralynq within agentic RAG taxonomy,calls out lack of standardized agentic-trace evaluation
L15,Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2023,NeurIPS 2023 D&B,https://arxiv.org/abs/2306.05685,LLM-judge reliability,3K expert votes / 30K convos,open-domain chat,n/a,n/a,"agreement with humans, judge biases",no,no,no,no,partial,"chat not grounded QA; known judge biases",grounds our caution that LLM judges are not ground truth,judge reliability under grounded-abstention untested
L16,Know Your Limits: A Survey of Abstention in LLMs,2025,TACL 2025,https://arxiv.org/abs/2407.18418,survey of abstention,n/a,n/a,n/a,various,"taxonomy of abstention methods/metrics",yes,no,no,no,partial,"survey; no unified RAG benchmark",organizes abstention metrics we implement (Abstain-ECE etc.),no joint RAG+trace+local-model abstention benchmark
L17,On Calibration of Modern Neural Networks,2017,ICML 2017,https://arxiv.org/abs/1706.04599,confidence calibration,image classification,vision,n/a,classifier,"ECE, reliability diagrams, temperature scaling",no,no,no,no,no,"not LLM/RAG; classification setting",source of ECE/temperature-scaling we adapt to abstention,calibration of RAG sufficiency scores not addressed
L18,Do LLMs Know When to NOT Answer? Investigating Abstention,2024,arXiv,https://arxiv.org/abs/2407.16221,abstention ability probing,multiple MCQA,general,closed-book,LLM,"abstention accuracy/precision",yes,no,no,no,partial,"closed-book MCQA, not doc-grounded RAG",motivates document-grounded abstention metrics,not retrieval-grounded; no evidence-sufficiency features
